,Premium,Size,Risk free,,,Value,Momentum
,Mkt-RF,SMB,RF,ST REVERSAL,LT REVERSAL,HML,MOM
192607,2.96,-2.56,0.22,-1.87,,-2.43,
192608,2.64,-1.17,0.25,1.43,,3.82,
192609,0.36,-1.4,0.23,-0.17,,0.13,
192610,-3.24,-0.09,0.32,-2.11,,0.7,
192611,2.53,-0.1,0.31,1,,-0.51,
192612,2.62,-0.03,0.28,2.01,,-0.05,
192701,-0.06,-0.37,0.25,-1.98,,4.54,0.36
192702,4.18,0.04,0.26,-1.22,,2.94,-2.14
192703,0.13,-1.65,0.3,-3.44,,-2.61,3.61
192704,0.46,0.3,0.25,-3.56,,0.81,4.3
192705,5.44,1.53,0.3,-0.87,,4.73,3
192706,-2.34,0.59,0.26,-0.66,,-1.73,0.6
192707,7.26,-3.25,0.3,-0.89,,-1.14,4.31
192708,1.97,-0.69,0.28,-1.18,,-3.74,1.36
192709,4.76,-3.63,0.21,-1.05,,-0.63,1.98
192710,-4.31,2.12,0.25,-2.84,,-4.33,-0.87
192711,6.58,2.72,0.21,4.52,,-0.27,-0.51
192712,2.09,0.97,0.22,-0.16,,-1.13,3.21
192801,-0.68,4.26,0.25,0.72,,-0.75,-0.52
192802,-1.7,-2.06,0.33,0.07,,-0.65,-1.09
192803,8.81,-0.26,0.29,-5.82,,-1.22,4.7
192804,4.23,3.98,0.22,-0.52,,3.44,-4.41
192805,1.52,2.85,0.32,3.34,,-3.27,3.02
192806,-4.85,-3.52,0.31,1,,-0.03,2.04
192807,0.62,-1.32,0.32,-1.66,,-0.5,2.65
192808,6.68,-2.06,0.32,0.14,,-2.15,3.54
192809,2.88,2.41,0.27,-0.47,,0.86,3.45
192810,1.33,2.22,0.41,-2.38,,-2.16,5.1
192811,11.81,-1.78,0.38,-1.74,,2.7,2.09
192812,0.36,-0.86,0.06,-1.4,,-0.65,1.54
192901,4.66,-3.56,0.34,-6.69,,-1.24,2.45
192902,-0.34,-0.38,0.36,0.14,,1.66,3.05
192903,-0.89,-4.71,0.34,-2.71,,1.58,-0.64
192904,1.43,-0.97,0.36,0.84,,0.59,1.91
192905,-6.39,-5.37,0.44,-2.13,,-1.42,-2.04
192906,9.7,-2.17,0.52,1.31,,-2.79,8.6
192907,4.46,-3.88,0.33,-1.5,,2.71,2.96
192908,8.18,-9.59,0.4,-2.01,,0.13,4.7
192909,-5.47,1.19,0.35,1.88,,-0.65,2.97
192910,-20.12,-4.01,0.46,-2.18,,7.78,4.1
192911,-12.74,-1.72,0.37,-8,,5.05,-2.39
192912,1.33,-4.5,0.37,1.36,,-0.54,5.19
193001,5.61,3.55,0.14,5.28,,-0.96,-5.16
193002,2.5,0.19,0.3,0.05,,0.2,0.62
193003,7.1,3.41,0.35,2.07,,0.33,-4.42
193004,-2.06,-0.35,0.21,-0.33,,-0.35,3.98
193005,-1.66,-2.01,0.26,3.42,,-0.73,0.05
193006,-16.27,-3.38,0.27,-6.4,,2.33,6.64
193007,4.12,-0.28,0.2,5.89,,-1.75,-2.19
193008,0.3,-2.1,0.09,2.25,,-0.61,3.95
193009,-12.75,-2.21,0.22,-3.68,,-4.96,11.48
193010,-8.78,-0.12,0.09,-3.69,,-1.38,6.86
193011,-3.04,2.23,0.13,1.94,,-3.66,-1.46
193012,-7.83,-4.6,0.14,-2.25,,-5.25,13.32
193101,6.24,3.45,0.15,16.6,1.11,7.12,-11.07
193102,10.88,3.59,0.04,-2.62,1.99,1.92,-14.47
193103,-6.43,2.98,0.13,5.31,4.61,-3.44,9.46
193104,-9.98,-4.45,0.08,-5.57,-1.62,-3.82,11.4
193105,-13.24,5.35,0.09,-3.59,-2.64,-6.57,9.26
